address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
2936 GREENMOUNT,Vacant,2023-11-24,2324935A,NORTHERN,ABELL,,
3014 VINEYARD,Exterior,2021-12-10,2065716A,NORTHERN,ABELL,,
3124 GREENMOUNT,Exterior,2025-04-02,2491624A,NORTHERN,ABELL,pdf\ABELL\2491624A.pdf,text\ABELL\2491624A.txt
3222 GREENMOUNT,Exterior,2025-04-02,2491645A,NORTHERN,ABELL,pdf\ABELL\2491645A.pdf,text\ABELL\2491645A.txt
303 E 33RD,Exterior,2025-05-22,2507561A,NORTHERN,ABELL,pdf\ABELL\2507561A.pdf,text\ABELL\2507561A.txt
3035 BARCLAY,Exterior,2025-08-15,2552206A,NORTHERN,ABELL,pdf\ABELL\2552206A.pdf,text\ABELL\2552206A.txt
333 E 31ST,Exterior,2020-01-10,1871558A,NORTHERN,ABELL,,
3201 BERKSHIRE,Exterior,2013-11-21,1035079A,NORTHERN,ARCADIA,,
4420 BELAIR,Exterior,2025-06-03,2517697A,NORTHEAST,ARCADIA,,
3910 PARKSIDE,Exterior,2024-03-17,2356933A,NORTHEAST,ARCADIA,,
3031 WEAVER,Interior,2022-05-27,2114318A,,ARCADIA,,
3201 BERKSHIRE,Interior/Exterior,2013-11-21,1035060A,NORTHERN,ARCADIA,,
4128 EIERMAN,Vacant,2024-02-22,2348572A,NORTHEAST,ARCADIA,,
3203 TYNDALE,Exterior,2024-07-21,2411752A,NORTHEAST,ARCADIA,,
3201 BERKSHIRE,Interior/Exterior,2013-07-18,998459A,NORTHERN,ARCADIA,,
4014 EIERMAN,Interior,2023-08-02,2276097A,NORTHEAST,ARCADIA,,
4136 EIERMAN,Vacant,2025-05-28,2510005A,NORTHEAST,ARCADIA,,
3610 PARKSIDE,Vacant,2023-11-12,2320172A,NORTHEAST,ARCADIA,,
3003 OVERLAND,Interior/Exterior,2025-06-27,2530446A,NORTHEAST,ARCADIA,,
3024 IONA,Exterior,2025-07-25,2541459A,NORTHEAST,ARCADIA,,
4014 EIERMAN,Interior/Exterior,2023-08-02,2275630A,NORTHEAST,ARCADIA,,
4400 BELAIR,Vacant,2025-02-04,2476471A,NORTHEAST,ARCADIA,,
3120 WEAVER,Vacant,2025-02-27,2478950A,NORTHEAST,ARCADIA,,
4002 EIERMAN,Vacant,2023-05-22,2247003A,NORTHEAST,ARCADIA,,
3806 PARKSIDE,Vacant,2022-11-18,2185652A,NORTHEAST,ARCADIA,,
4014 EIERMAN,Interior,2023-07-07,2256558A,NORTHEAST,ARCADIA,,
4154 EIERMAN,Vacant,2023-09-15,2300730A,NORTHEAST,ARCADIA,,
3003 OVERLAND,Exterior,2025-06-27,2530442A,NORTHEAST,ARCADIA,,
3201 BERKSHIRE,Exterior,2013-11-21,1035079A,NORTHERN,ARCADIA,pdf\ARCADIA\1035079A.pdf,text\ARCADIA\1035079A.txt
4420 BELAIR,Exterior,2025-06-03,2517697A,NORTHEAST,ARCADIA,,
3910 PARKSIDE,Exterior,2024-03-17,2356933A,NORTHEAST,ARCADIA,,
3031 WEAVER,Interior,2022-05-27,2114318A,,ARCADIA,,
3201 BERKSHIRE,Interior/Exterior,2013-11-21,1035060A,NORTHERN,ARCADIA,,
